partida_id,bloque,categoria,partida,cantidad,unidad,precio_unit_mxn,subtotal_mxn,cuenta_en_total,motivo_si_no_cuenta,proveedor_default,tienda_fisica,sucursal_o_zona,enlace,opciones_de_proveedor,temporada,notas
F2-001,sem1-2,nft,Tubo PVC SANITARIO 4 pulg x 6 m (lineas NFT),4,tramo,415,1660,si,,Home Depot,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",https://www.homedepot.com.mx/p/amanco-wavin-tubo-sanitario-11-x-600-cm-blanco-amanco-942842-451963,1,,"SANITARIO, no hidraulico cedula 40 ($1,401): el NFT corre sin presion y la diferencia es 3.4x. Blanco porque refleja el calor"
F2-002,sem1-2,nft,"Codos 90/45, tapas y adaptadores de drenaje 4 pulg",1,lote,600,600,si,,Home Depot,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",https://www.homedepot.com.mx/p/amanco-wavin-codo-pvc-4-513695-513695,1,,"Codo de 90 $28.80, codo de 45 $18.31"
F2-003,sem1-2,nft,"Tuberia de distribucion 1/2-3/4, retorno 2 pulg y valvulas de compuerta por linea",1,lote,750,750,si,,Home Depot / Ferreteria Copilco,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",https://www.homedepot.com.mx/b/plomeria/tuberias-y-conexiones/sanitarias,2,,Caudal objetivo 1-2 L/min por linea: se mide con botella de 1 L y cronometro
F2-004,sem1-2,nft,"Cemento para PVC, limpiador, teflon y lima de desbarbar",1,lote,280,280,si,,Home Depot / Ferreteria Copilco,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",,2,,"PARTIDA NUEVA: las notas del BOM viejo la mencionaban y ningun renglon la sumaba. Sin desbarbar, el borde corta la raiz"
F2-005,sem1-2,nft,Canastilla hidroponica 3 pulg,80,pza,12.8,1024,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/canastilla-hidroponica-de-3-pulgadas/,3,,COMPRARLAS ANTES DE PERFORAR. Medir el cuerpo bajo el labio para elegir la sierra copa
F2-006,sem1-2,herramienta,Sierra copa bimetalica del diametro medido + mandril,1,pza,300,300,si,,Home Depot,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",https://listado.mercadolibre.com.mx/truper-sierra-corta-circulos-bimetalica,2,,"UN SOLO diametro, el que midas de la canastilla. Tipico 44-48 mm para canastilla de 2 pulg; aqui es de 3 pulg, asi que MIDE"
F2-007,sem1-2,nft,"Bomba de llenado, purga y trasiego (sumergible 4500 LPH)",1,pza,1199,1199,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/bomba-sumergible-4500-lph-para-hidroponia-y-estanques/,2,,65 W (~$45/mes de luz) contra 370 W de una periferica (~$260/mes). NO es la bomba de recirculacion 24/7: esa es de 12 V y cuelga de la bateria
F2-008,sem1-2,nft,Filtro de malla 120 mesh 1 pulg,1,pza,230,230,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/filtro-de-malla-para-riego-de-1-pulgada-con-salida-y-entrada-tipo-macho/,2,,"Va en el RETORNO, antes de la bomba"
F2-009,sem1-2,nft,Deposito de solucion nutritiva 200 L grado alimenticio,1,pza,700,700,si,,Home Depot / Sodimac,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Sodimac Gran Sur, Periferico Sur 5550, Coyoacan",,2,,Bajo sombra. La solucion ideal va a 18-22 C. Cambio completo cada 2-3 semanas
F2-010,sem1-2,nft,Semillero de foami agricola 144 bloques,2,pza,45.5,91,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/semillero-de-foami-agricola-de-144-bloques-30x30-cm/,2,,$0.32 por planta. NO usar peat pellets: tapan el filtro
F2-011,sem3,nutricion,"Solucion nutritiva para hortalizas (rinde 1,000 L)",2,pza,349,698,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/solucion-nutritiva-para-hortalizas-de-1-5-kg-rinde-para-1000-litros/,3,,Al pasar de 2 m3/mes conviene el costal de 25 kg ($202/m3) o sales A/B ($90-150/m3). DESCARTAR Flora Series GHE: cuesta 10-40x
F2-012,sem3,nutricion,Acido regulador pH- AquAcid (REACTIVO de dosificacion),1,pza,516,516,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/aquacid-buffer-para-bajar-ph-regulador-de-ph-para-hidroponia/,3,,"Es el reactivo que dosifica la peristaltica para bajar el pH de la solucion. NO confundir con los estandares de calibracion, que son otra cosa aunque se llamen buffer"
F2-013,sem3,calibracion,Estandar de calibracion pH 4.01,2,pza,40,80,si,,Insumos Cerveceros,no,solo en linea,https://insumoscerveceros.mx/inicio/1305-solucion-para-calibracion-de-ph-buffer-401-120-ml.html,2,,"ESTANDAR DE CALIBRACION, no toca el cultivo. Calibracion quincenal, con evento programado en Home Assistant"
F2-014,sem3,calibracion,Estandar de calibracion pH 6.86 (o 7.01),1,botella,150,150,si,,HANNA Instruments / Hydro Environment,si,"HANNA: Vainilla 462, Granjas Mexico, Iztacalco",https://hannainst.com.mx,3,,El segundo punto de la calibracion. 6.86 y 7.01 son dos estandares distintos pero equivalentes para este uso: usa el que consigas
F2-015,sem3,calibracion,Solucion de calibracion EC 1413 uS/cm,1,pza,459.36,459.36,si,,HANNA Instruments Mexico,si,"Vainilla 462, Granjas Mexico, Iztacalco",https://hannainst.com.mx/soluci%C3%B3n-de-calibraci%C3%B3n-de-ce-1-413-%C2%B5s-3-cm-valor-hi7031l,3,,"Caducidad de 5 anos cerrada. Presupuesto anual de calibracion mas sonda: ~$1,050"
F2-016,sem4-6,automatizacion,Sonda de pH del deposito NFT,1,pza,318,318,si,,UNIT Electronics,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",https://uelectronics.com/producto/sensor-de-ph-liquido/,3,,Etapa 1: valida el lazo de control. El kit DFRobot NO se compra hasta que el NFT facture: su electrodo caduca a los 12-18 meses aunque siga en la caja
F2-017,sem4-6,automatizacion,Sonda EC/TDS FIJA del retorno (SEN0244),1,pza,253,253,si,,UNIT Electronics,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",https://uelectronics.com/producto/sensor-tds-meter-v1-0-analogico-sen0244/,2,,"Es la sonda fija que lee ESPHome, montada en el RETORNO. No confundir con el medidor de mano, que es el arbitro"
F2-018,sem4-6,automatizacion,"Bombas peristalticas 12 V (A, B, pH- y repuesto)",4,pza,225,900,si,,Mercado Libre,no,solo en linea,https://listado.mercadolibre.com.mx/bomba-peristaltica-12v,2,,"La manguera interna es consumible: se reemplaza, no se repara"
F2-019,sem4-6,automatizacion,Valvula solenoide 12 V 1/2 NC,2,pza,128,256,si,,UNIT Electronics,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",https://listado.mercadolibre.com.mx/valvula-solenoide-12v-1-2,2,,NC (normalmente cerrada): un corte de luz NO vacia el tinaco
F2-020,sem4-6,automatizacion,ESP32-CAM OV2640,1,pza,260,260,si,,UNIT Electronics,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",https://uelectronics.com/producto/esp32-cam-ov2640-v3-con-interfaz-tipo-c/,2,,Timelapse e inspeccion remota
F2-021,sem4-6,automatizacion,Sensor de flujo YF-S201,1,pza,64,64,si,,UNIT Electronics,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",https://listado.mercadolibre.com.mx/sensor-de-flujo-de-agua-yf-s201,2,,Watchdog de bomba tapada o linea rota
F2-022,sem1-2,agua,Separador de primeras lluvias (Paquete Basico Tlaloc),1,sistema,5300,0,no,ya_comprado_en_fase_anterior,,,,,1,,"NO SUMA: es la MISMA funcion que la partida F1-010, que ya se decidio y se pago en Fase 1. Si en Fase 1 elegiste el DIY de $1,500 y ahora quieres el Tlaloc, el delta real es +$3,800, no $5,300"
F2-023,sem1-2,agua,Filtro duplex de sedimento 5 um + carbon activado 10 pulg,1,juego,1000,1000,si,,Home Depot / Sodimac,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Sodimac Gran Sur, Periferico Sur 5550, Coyoacan",https://www.agualimpia.mx/collections/filtro-para-sedimento-y-carbon-activado,2,,"Solo en la linea que llena el deposito NFT: quita el cloro. Los CARTUCHOS son consumible cada 4-6 meses, no compra unica"
F2-024,sem3,calibracion,Medidor de mano pH + EC (arbitro de calibracion),1,pza,450,450,si,,Mercado Libre,no,solo en linea,https://listado.mercadolibre.com.mx/medidor-ph-tds-ec,3,,Es el ARBITRO: con el operas en manual las primeras semanas y con el detectas que la sonda fija se descalibro. No sustituye a la sonda fija ni al reves
